username,session,new_session,new_timing
c25363a15f49908048e3aee7531609123ec30915,4dad0b15-1e99-425b-8c8e-89a69be68a0e,79a5938a-4add-42c8-8595-446a3620b172,
c25363a15f49908048e3aee7531609123ec30915,6c407c91-408a-4e22-aac4-270df2ef478a,79a5938a-4add-42c8-8595-446a3620b172,
c04c89104ba84922f04e73f70c833c8eabf33b6a,f1fd8941-9908-4355-8e82-6ee2fba52806,42ab5e70-b7fc-48d1-9c3b-cf110a1f6896,
99c3e07e83076b4c0f46468eef2e50762859b381,c254fc84-7355-4cbf-a7d6-62359c19fd4c,017440b7-b404-4c3a-9efe-5ee3ed3a6629,post
0306aad18a0827daa5b9d04c70003f0b6e83fa8c,000b6101-5ac6-4fcb-8ed3-f3d42b228851,5f354a36-3343-4e60-9f0b-d3e1716676ed,post
cbc95fd002265b858549c36ee85196ebb99cbef4,d7a5cbf2-2aec-4b3b-b28b-7757c6f5cb0c,1d7edb2a-f47b-46ce-955b-3c7239ec20f0,post
6de143adb5df63670064f42a737b84616e618c2a,fdf1c889-0fff-4bd7-8b42-c0c9f90c6ce4,702fed66-e438-4ad9-9b22-391a6f5eae60,post
2a8c7887a187bfaae94f961a269c2b86e94909d4,f6b93a51-3a67-4a56-b430-f9ecc0ec3e7d,226a5229-e39d-40e6-a85e-9cc2919baccd,post
ebe88f0d87e07d3e30b5d814590621954ce01ac6,05347a0a-3445-49f6-a6e3-b76608f7dc98,a9319f5f-a2f4-4313-97a1-7541457d716f,post
89f9c44b8312f74ecb6e97e1f8a2572698fb0509,2becf02b-6a53-4c5b-b56a-cc14ae53950c,082f6b02-00e0-4ec4-83e7-c49950f5fc2f,post
7b23c7ba323aa6653caaa3fdb2a1a5708163c099,8dbb9297-1bb8-4a81-8015-621dc15de732,48c33dff-e892-4dbd-9783-74505bf41acd,post
72098920bb05368fb2d66c5f7a4e2411e2b6955c,a8358c8d-9361-4840-aec0-52091a1a9060,bfbc09e7-c366-40ed-9847-94f092412ff9,post
b33db787858d34344b303f0360dccebc3d0d2e8e,59069921-d4c3-43a8-9141-bd817289a25b,00a556c2-ff12-4b8a-bb46-47fc994430be,post
5677b522dfbf2fce21e1124923a87289f6481caf,8247952a-0395-4f83-9837-43256c9b39f0,7305294d-3cea-41ed-9c51-753a4b799986,
hc_769115dbea585101ea89bb6f9a7fed1a5de9ace9,6f88390c-8fcc-4e95-af43-c0a8042227b3,ae0c9926-88e7-413a-85d0-1b5337524040,
6b71c4bc6a5369cacb300900e2cc98ee81ea79df,fa4cfc5e-14a6-4dfc-a79b-61ea463359a4,e8705305-d535-4e1f-8f55-600902ae8c64,post
ead7e8b4f668fbbbe17e403988edd1cee249f38f,cccf53fb-b8e0-4154-9c24-b96f2fc3a453,bcd92f0e-9bf5-4693-a662-8749d4af4308,
a29f4ee8656a48df5bddae6a8e0c641995aa6323,070fbc7a-883e-4b4c-b092-7f6700cf3356,6aac21af-8510-46f6-ac35-6ac701b07827,
725b95ef3a3ea7eff730f891986773f9e3c72013,509c2121-1b33-4098-b793-19830d36ee11,9b3abed2-6a6c-4c9d-97e4-96fa1aab802f,
d00b31b3235d94c8d47d6fdcd2449bd4b534bc5d,d8dc9453-0661-4b18-bfc4-0ac413f474c3,f8cf61cd-6cab-4be1-88ec-22b7523ad1ef,
09969aa7d3746299eb42bbd8c9a41508f360f262,9c79b782-2fff-4528-ac70-7dfc0e4dc941,f317c23c-4d6a-48fe-98b5-7abbbe7a6c52,
09969aa7d3746299eb42bbd8c9a41508f360f262,35de457d-a016-4c4c-a7e1-1b82f427da78,f317c23c-4d6a-48fe-98b5-7abbbe7a6c52,
09969aa7d3746299eb42bbd8c9a41508f360f262,30b9573e-9a4c-432e-9bb7-190c0ed847b0,f317c23c-4d6a-48fe-98b5-7abbbe7a6c52,
99c3e07e83076b4c0f46468eef2e50762859b381,8a9c43a4-c361-4ec5-aa88-8595430aea45,dc916894-fe09-4707-bd02-3eb3f3444c0a,
99c3e07e83076b4c0f46468eef2e50762859b381,e90ccf9a-5392-4f37-ab87-02189546b87e,dc916894-fe09-4707-bd02-3eb3f3444c0a,
e699c40c9a8c143f2ca1bdfe500062c9f297f998,e4ecd2ac-24e6-48f6-adcc-f727a30d68e8,7d1f16aa-4534-4cc0-969b-f9ee7e95d374,
3b07125010ab6eb7a56ba6823150022477449cb9,d3deeed9-8a43-42ec-97c9-21b4e2ee838d,75995659-e3e4-42c5-8ac6-f50fe3901c74,
119471f5f1545d0ae8213d9ab338bd4ad91cf726,ef3a2c25-ee77-42e4-83a4-db4415cc2829,8f797b1a-4a2b-4a0d-a313-16417f37d40b,
e3efdfc40b9605cb2723fe285216470610df7c82,0ca9f88f-52c1-4f3e-9359-845b2894ffec,46be205c-8b63-44a1-b242-9ee205025fc8,
e3efdfc40b9605cb2723fe285216470610df7c82,b672b327-bbf0-4faf-93b3-b9ee46066f30,46be205c-8b63-44a1-b242-9ee205025fc8,post
da851790ee5551d8176504cb4e0cb469c622e7c4,470be945-2693-4172-b276-9619e5a8d6af,782044a9-b21f-4075-baa2-b78746b1c049,post
130aa73a4006d1dc1294c345eabbd32fe418f992,e20e26d4-3f97-460d-8d53-cea23866c006,b6329b97-c636-438d-a5e5-4696cc950513,post
bc9f32faeb87d3a7fb86f432992736a3065e1d13,df0fe34b-df88-46c1-b1d8-9ed9ff252cb0,553e4e0f-d3c5-4afb-aa7c-f94cd0f98527,
bc9f32faeb87d3a7fb86f432992736a3065e1d13,bdc1c7d4-6293-4821-811e-2956e417a97a,553e4e0f-d3c5-4afb-aa7c-f94cd0f98527,
bc9f32faeb87d3a7fb86f432992736a3065e1d13,404a30cd-5def-4e22-a4b2-ff05181f37ec,553e4e0f-d3c5-4afb-aa7c-f94cd0f98527,
bc9f32faeb87d3a7fb86f432992736a3065e1d13,cfc5de5a-5fff-4d49-9692-e186838e9bb4,553e4e0f-d3c5-4afb-aa7c-f94cd0f98527,
bc9f32faeb87d3a7fb86f432992736a3065e1d13,56696ef8-5180-466e-8039-5cdfdf63da72,553e4e0f-d3c5-4afb-aa7c-f94cd0f98527,
04a162a5a45b955ffd6b654bd896ee65a930fdd5,d4695d6e-c37a-4ff8-8d43-a121668a622a,9901bb88-4bac-4262-ade5-85a2d851512d,
55c2a2a2d267784c9a64093ba9e9f38b8c987e9f,295b5cac-819e-4af1-a0f9-743e812b5c2f,17df6cc0-47c7-4188-8dd9-5dabb681eac2,
55c2a2a2d267784c9a64093ba9e9f38b8c987e9f,a6df13a5-06da-48eb-9b7b-4c0eb83f53fd,17df6cc0-47c7-4188-8dd9-5dabb681eac2,
55c2a2a2d267784c9a64093ba9e9f38b8c987e9f,9b6941f5-b0b6-46f4-9be5-94e0ddbd6849,17df6cc0-47c7-4188-8dd9-5dabb681eac2,
ecf454cde1f6cdcf148da2de3bacb1326680826e,75f68521-012a-4359-9950-994bbe8e0f2b,b1d4e87e-fa5a-4c35-8e98-1ebde730b2d9,post
725b95ef3a3ea7eff730f891986773f9e3c72013,be4308c0-bfcc-4371-a61e-006c6a4aaaed,dddbc48a-02c7-4084-8990-d16e6182ebf1,
56931c53940a221532da1648190681c19475cb1c,c10e78cc-6d9c-4bbb-9cca-08ba4b055209,d7970f08-0892-45d4-9d58-f4deba0ac248,post
ec01d5f47d5985b9faf85f6518621016363e0728,8d20787b-3d02-4566-99a3-fdfeb6251ce8,49f18c7a-282a-4fa7-8fe5-525c583ba13e,post
7c5f4c8041927f533f97d221c13e89d6e12eb1f0,5d544901-e6b6-41b4-9222-4848a858a882,615efd57-58e6-4a52-8812-f9864c8f7392
c2e4c7f6f006c2ee121b2e1f87f6ecd01cac1c41,db9da24b-b878-4c6a-ab66-b63454b787ae,20447a33-6941-41ca-9aa2-325af2772a73,post
cbc95fd002265b858549c36ee85196ebb99cbef4,0754468a-e081-4da0-a175-0b5eab81ddbb,633ea53d-09e6-405b-b80d-e059ded6fc8a
725b95ef3a3ea7eff730f891986773f9e3c72013,eb7349a5-195a-4684-834a-13888ced3bf8,456cc2f7-0716-4e9d-8ad6-d3074403970a
51874e01a25068823576a05f9fd632197888c9cc,cd70e905-4ff0-48f6-a448-7ba322e7683d,c764ba6a-3422-45b4-babb-6d77ee56573d,post
ed0c3a55dfd6fb3924f56c1620fd6123f925eee8,3e07bb08-158f-4623-9a97-8ee7830f8757,a40f8bbc-3add-4706-b900-a9338cfe4fc3,
b5edc106aff7a4aa981b0cb5e96faed42e769e6b,2c131364-f3d1-4266-8769-8fbd4dceb80e,3c705d91-0f8b-492a-8598-0f123ccb40bc,post
eeb0884680cae06f7cb0b91679e08b749efea240,ef830d9e-0542-47ea-94fc-ef2444132587,db609cae-1599-4cdc-9435-0c91e25e7afb
eeb0884680cae06f7cb0b91679e08b749efea240,15a29aba-c80f-4aed-9a9c-a65f1002a735,db609cae-1599-4cdc-9435-0c91e25e7afb
0ef24572e69845e2bdb8264752b838177d006987,60eb238b-c7e6-4531-92d1-9a2bcee7690c,64a1561b-005a-4018-8f78-cb24da346da7,post
34212cdedf0cd037214ed46ef889af9b1ba1a0f5,7b17abfe-2ed5-447b-8986-5557764006eb,967a4b6f-3c3e-48f3-a0f7-6783e07e2522,
541b2077093320afcbd6e958482356d7f8b47be9,14f9fe7e-1e22-4844-b077-88ea55ecde15,a5450c03-7c7c-4e6c-832a-8e4b74509a98,post
